Space Rangers 2: Dominators,2004
Star Wars Galaxies: Jump to Lightspeed,2004
Uncharted Waters Online,2004
Xpand Rally,2004
Blitzkrieg 2,2005
Brigade E5: New Jagged Union,2005
Brothers in Arms: Road to Hill 30,2005
Cabelas Dangerous Hunts 2,2005
Cossacks II: Napoleonic Wars,2005
Cross Racing Championship 2005,2005
Eclipse,2005
Empire Earth II,2005
GT Legends,2005
GTR – FIA GT Racing Game,2005
Gun,2005
NASCAR SimRacing,2005
Need for Speed: Most Wanted,2005
The Sims 2: Nightlife,2005
The Sims 2: University,2005
SWAT 4,2005
World War II Online,2005
X3: Reunion,2005
Age of Empires III: The WarChiefs,2006
Age of Pirates: Caribbean Tales,2006
Anno 1701,2006
ARMA: Armed Assault,2006
Black & White 2: Battle of the Gods,2006
Cabelas African Safari,2006
Cabelas Alaskan Adventures,2006
Cute Knight,2006
DarkStar One,2006
Empire Earth II: The Art of Supremacy,2006
Frets on Fire,2006
Full Spectrum Warrior: Ten Hammers,2006
GTR 2 – FIA GT Racing Game,2006
Medieval II: Total War,2006
netKar Pro,2006
Prison Tycoon 2: Maximum Security,2006
Red Orchestra: Ostfront 41-45,2006
The Settlers II,2006
The Sims 2: Open for Business,2006
Star Wars: Empire at War,2006
Stronghold Legends,2006
Ultimate Duck Hunting,2006
Attack on Pearl Harbor,2007
Battlestations: Midway,2007
Bus Driver,2007
Close Combat: Cross of Iron,2007
Close Combat: Modern Tactics,2007
Colin McRae: Dirt,2007
Empire Earth III,2007
Guitar Hero III: Legends of Rock,2007
MotoGP 07,2007
Need for Speed: ProStreet,2007
Panzer Elite Action: Dunes of War,2007
The Sims 2: Bon Voyage,2007
The Sims 2: Seasons,2007
Taito Legends 2,2007
Theatre of War,2007
Thrillville: Off the Rails,2007
World in Conflict,2007
World of Padman,2007
Burnout Paradise,2008
Close Combat: Wacht am Rhein,2008
Darkest Hour: Europe 44-45,2008
Deer Hunter Tournament,2008
Europa Universalis: Rome,2008
Imperium Romanum,2008
Kings Bounty: The Legend,2008
Mare Nostrum,2008
MotoGP 08,2008
Mount & Blade,2008
Prison Tycoon 4: Supermax,2008
Race Driver: Grid,2008
The Sims 2: Apartment Life,2008
The Sims 2: FreeTime,2008
Stronghold: Crusader Extreme,2008
Tank Universal,2008
WolfQuest,2008
World of Goo,2008
X3: Terran Conflict,2008
Age of Pirates 2: City of Abandoned Ships,2009
Anno 1404,2009
ARMA 2,2009
Battlestations: Pacific,2009
Cities XL,2009
Colin McRae: Dirt 2,2009
Majesty 2: The Fantasy Kingdom Sim,2009
Men of War,2009
Need for Speed: Shift,2009
Need for Speed: World,2009
Operation Flashpoint: Dragon Rising,2009
Plants vs. Zombies,2009
The Sims 3,2009
Wheelman,2009
Mount & Blade: Warband,2010
Need for Speed: Hot Pursuit,2010
Anno 2070,2011
Need for Speed: Shift 2 Unleashed,2011
SpaceChem,2011
Terraria,2011
Pixel Piracy,2013
Gang Beasts,2014
Grid Autosport,2014
MotoGP 14,2014
MotoGP 15,2015
Need for Speed (2015),2015
Pony World 3,2015
Project Cars,2015
Aqua Moto Racing Utopia,2016
Faces of War,2016
Fallout Shelter,2016
MotoGP 17,2017
Project Cars 2,2017
Snake Pass,2017
MapleStory 2,2018
The Messenger,2018
MotoGP 18,2018
Dragon City,2019
Grid,2019
MotoGP 19,2019
MotoGP 20,2020
Project Cars 3,2020
